LGA,speaks_english_only,pop
Livingstone,34555,39398
Lockhart River,148,640
Lockyer Valley,35429,41101
Logan,259262,345098
Longreach,3072,3647
Mackay,103403,121691
McKinlay,660,836
Mapoon,235,432
Maranoa,10903,12825
Mareeba,17006,22858
Moreton Bay,412761,476340
Mornington,575,1025
Mount Isa,15027,18727
Murweh,3280,3971
Napranum,573,883
Noosa,49844,56298
North Burnett,8456,10068
Northern Peninsula Area,420,2781
Palm Island,1114,2098
Paroo,1531,1679
Pormpuraaw,215,611
Quilpie,644,698
Redland,141607,159222
Richmond,624,761
Rockhampton,70536,81968
Scenic Rim,38455,42984
Somerset,22130,25057
South Burnett,28997,32996
Southern Downs,31954,36290
Sunshine Coast,304081,342541
Tablelands,22335,26244
Toowoomba,148153,173204
Torres,1419,3421
Torres Strait Island,262,4124
Townsville,161774,192768
Weipa,3170,4100
Western Downs,29149,33843
Whitsunday,30406,37152
Winton,928,1129
Woorabinda,933,1019
Wujal Wujal,150,276
Yarrabah,442,2505
No usual address (Qld),9972,14670
Migratory - Offshore - Shipping (Qld),32,183
Adelaide,13980,25026
Adelaide Hills,37020,40879
Adelaide Plains,8678,9835
Alexandrina,26552,28730
Anangu Pitjantjatjara Yunkunytjatjara,256,2333
Barossa,23436,25066
Barunga West,2391,2619
Berri Barmera,8895,10484
Burnside,32387,46030
Campbelltown (SA),33390,54800
Ceduna,2904,3505
Charles Sturt,84630,121840
Clare and Gilbert Valleys,8406,9187
Cleve,1588,1742
Coober Pedy,910,1566
Copper Coast,13674,15050
Elliston,922,1014
Flinders Ranges,1397,1646
Franklin Harbour,1147,1293
Gawler,22849,24988
Goyder,3669,4060
Grant,7246,8636
Holdfast Bay,32245,37543
Kangaroo Island,4294,4894
Karoonda East Murray,901,1007
Kimba,950,1037
Kingston (SA),2155,2326
Light,14676,15792
Lower Eyre Peninsula,5267,5910
Loxton Waikerie,10327,11666
Maralinga Tjarutja,15,96
Marion,72015,94721
Mid Murray,8053,9164
Mitcham,55762,67617
Mount Barker,35652,39217
Mount Gambier,23553,26878
Mount Remarkable,2567,2862
Murray Bridge,18145,21644
Naracoorte Lucindale,7179,8686
Northern Areas,4188,4559
